Emotion,Timestamp
Angry,2023-11-16 07:51:09
Angry,2023-11-16 07:51:10
Neutral,2023-11-16 07:51:10
Angry,2023-11-16 07:51:10
Angry,2023-11-16 07:51:10
Angry,2023-11-16 07:51:10
Angry,2023-11-16 07:51:11
Angry,2023-11-16 07:51:11
Angry,2023-11-16 07:51:11
Angry,2023-11-16 07:51:11
Angry,2023-11-16 07:51:11
Angry,2023-11-16 07:51:11
Angry,2023-11-16 07:51:11
Angry,2023-11-16 07:51:11
Angry,2023-11-16 07:51:11
Angry,2023-11-16 07:51:12
Angry,2023-11-16 07:51:12
Angry,2023-11-16 07:51:12
Angry,2023-11-16 07:51:12
Angry,2023-11-16 07:51:12
Angry,2023-11-16 07:51:12
Angry,2023-11-16 07:51:12
Angry,2023-11-16 07:51:12
Angry,2023-11-16 07:51:12
Angry,2023-11-16 07:51:12
Angry,2023-11-16 07:51:13
Angry,2023-11-16 07:51:13
Angry,2023-11-16 07:51:13
Angry,2023-11-16 07:51:13
Angry,2023-11-16 07:51:13
Angry,2023-11-16 07:51:13
Neutral,2023-11-16 07:51:13
Neutral,2023-11-16 07:51:13
Neutral,2023-11-16 07:51:13
Neutral,2023-11-16 07:51:13
Neutral,2023-11-16 07:51:14
Neutral,2023-11-16 07:51:14
Neutral,2023-11-16 07:51:14
Angry,2023-11-16 07:51:14
Sad,2023-11-16 07:51:14
Sad,2023-11-16 07:51:14
Angry,2023-11-16 07:51:14
Angry,2023-11-16 07:51:14
Angry,2023-11-16 07:51:14
Angry,2023-11-16 07:51:14
Neutral,2023-11-16 07:51:15
Angry,2023-11-16 07:51:15
Angry,2023-11-16 07:51:15
Angry,2023-11-16 07:51:15
Angry,2023-11-16 07:51:15
Neutral,2023-11-16 07:51:15
Neutral,2023-11-16 07:51:15
Neutral,2023-11-16 07:51:15
Neutral,2023-11-16 07:51:15
Neutral,2023-11-16 07:51:15
Neutral,2023-11-16 07:51:16
Neutral,2023-11-16 07:51:16
Neutral,2023-11-16 07:51:16
Neutral,2023-11-16 07:51:16
Neutral,2023-11-16 07:51:16
Neutral,2023-11-16 07:51:16
Neutral,2023-11-16 07:51:16
Neutral,2023-11-16 07:51:16
Neutral,2023-11-16 07:51:16
Neutral,2023-11-16 07:51:16
Neutral,2023-11-16 07:51:17
Neutral,2023-11-16 07:51:17
Neutral,2023-11-16 07:51:17
Neutral,2023-11-16 07:51:17
Neutral,2023-11-16 07:51:17
Angry,2023-11-16 07:51:17
Sad,2023-11-16 07:51:17
Neutral,2023-11-16 07:51:17
Neutral,2023-11-16 07:51:17
Neutral,2023-11-16 07:51:17
Neutral,2023-11-16 07:51:18
Neutral,2023-11-16 07:51:18
Neutral,2023-11-16 07:51:18
Neutral,2023-11-16 07:51:18
Neutral,2023-11-16 07:51:18
Neutral,2023-11-16 07:51:18
Neutral,2023-11-16 07:51:18
Neutral,2023-11-16 07:51:18
Neutral,2023-11-16 07:51:18
Neutral,2023-11-16 07:51:18
Neutral,2023-11-16 07:51:19
Angry,2023-11-16 07:51:19
Neutral,2023-11-16 07:51:19
Neutral,2023-11-16 07:51:19
Neutral,2023-11-16 07:51:19
Neutral,2023-11-16 07:51:19
Neutral,2023-11-16 07:51:19
Neutral,2023-11-16 07:51:19
Neutral,2023-11-16 07:51:19
Neutral,2023-11-16 07:51:19
Neutral,2023-11-16 07:51:20
Neutral,2023-11-16 07:51:20
Neutral,2023-11-16 07:51:20
Neutral,2023-11-16 07:51:20
Neutral,2023-11-16 07:51:20
Neutral,2023-11-16 07:51:20
Neutral,2023-11-16 07:51:20
Angry,2023-11-16 07:51:20
Angry,2023-11-16 07:51:20
Angry,2023-11-16 07:51:20
Angry,2023-11-16 07:51:21
Happy,2023-11-16 07:51:21
Angry,2023-11-16 07:51:21
Angry,2023-11-16 07:51:21
Angry,2023-11-16 07:51:21
Angry,2023-11-16 07:51:21
Angry,2023-11-16 07:51:21
Angry,2023-11-16 07:51:21
Angry,2023-11-16 07:51:21
Angry,2023-11-16 07:51:21
Angry,2023-11-16 07:51:22
Neutral,2023-11-16 07:51:22
Angry,2023-11-16 07:51:22
Neutral,2023-11-16 07:51:22
Neutral,2023-11-16 07:51:22
Neutral,2023-11-16 07:51:22
Neutral,2023-11-16 07:51:22
Neutral,2023-11-16 07:51:22
Neutral,2023-11-16 07:51:22
Neutral,2023-11-16 07:51:22
Angry,2023-11-16 07:51:23
Neutral,2023-11-16 07:51:23
Neutral,2023-11-16 07:51:23
Neutral,2023-11-16 07:51:23
Neutral,2023-11-16 07:51:23
Angry,2023-11-16 07:51:23
Neutral,2023-11-16 07:51:23
Neutral,2023-11-16 07:51:23
Neutral,2023-11-16 07:51:23
Neutral,2023-11-16 07:51:23
Neutral,2023-11-16 07:51:24
Neutral,2023-11-16 07:51:24
